user_session,product_id,group_type_formal,first_cart_time_formal,group_type_legacy,first_cart_time_legacy,_merge
,4958,,,B,2019-12-02 09:26:41+00:00,right_only
,4964,,,B,2019-12-07 10:27:23+00:00,right_only
,5304,,,B,2019-12-12 02:58:22+00:00,right_only
,5333,,,B,2019-12-13 05:21:15+00:00,right_only
,6230,,,B,2019-12-05 10:54:47+00:00,right_only
,6467,,,B,2019-12-05 10:56:02+00:00,right_only
,6506,,,B,2019-12-26 20:24:01+00:00,right_only
,6735,,,B,2019-12-29 22:00:09+00:00,right_only
,6978,,,B,2019-12-23 11:45:23+00:00,right_only
,8098,,,B,2019-12-04 07:08:28+00:00,right_only
,15179,,,B,2019-12-07 19:55:45+00:00,right_only
,15201,,,B,2019-12-21 18:29:42+00:00,right_only
,15216,,,B,2019-12-27 09:49:04+00:00,right_only
,19162,,,B,2019-12-21 18:29:14+00:00,right_only
,36236,,,B,2019-12-25 09:48:38+00:00,right_only
,43191,,,B,2019-12-01 05:19:54+00:00,right_only
,59977,,,B,2019-12-23 18:53:45+00:00,right_only
,60001,,,B,2019-12-01 18:25:08+00:00,right_only
,71948,,,B,2019-12-24 11:44:05+00:00,right_only
,5528035,,,B,2019-12-13 18:57:13+00:00,right_only
,5556134,,,B,2019-12-09 07:49:39+00:00,right_only
,5561488,,,B,2019-12-01 03:49:31+00:00,right_only
,5573516,,,B,2019-12-05 10:54:45+00:00,right_only
,5585656,,,B,2019-12-11 11:29:09+00:00,right_only
,5597234,,,B,2019-12-21 18:29:08+00:00,right_only
,5613539,,,B,2019-12-17 08:54:00+00:00,right_only
,5622088,,,B,2019-12-09 03:55:35+00:00,right_only
,5649235,,,B,2019-12-18 02:42:25+00:00,right_only
,5649236,,,B,2019-12-06 06:17:02+00:00,right_only
,5650431,,,B,2019-12-22 12:54:28+00:00,right_only
,5651938,,,B,2019-12-07 07:25:50+00:00,right_only
,5651975,,,B,2019-12-06 04:26:44+00:00,right_only
,5651999,,,B,2019-12-21 21:45:51+00:00,right_only
,5654268,,,B,2019-12-17 06:58:25+00:00,right_only
,5655023,,,B,2019-12-17 08:33:46+00:00,right_only
,5657303,,,B,2019-12-10 10:24:52+00:00,right_only
,5665855,,,B,2019-12-11 23:02:15+00:00,right_only
,5677215,,,B,2019-12-19 17:51:58+00:00,right_only
,5677376,,,B,2019-12-19 17:18:16+00:00,right_only
,5677422,,,B,2019-12-27 16:22:42+00:00,right_only
,5677618,,,B,2019-12-01 09:05:38+00:00,right_only
,5677627,,,B,2019-12-19 17:51:50+00:00,right_only
,5677936,,,B,2019-12-24 14:58:11+00:00,right_only
,5677989,,,B,2019-12-25 06:23:00+00:00,right_only
,5678242,,,B,2019-12-21 08:59:33+00:00,right_only
,5685670,,,B,2019-12-08 03:56:44+00:00,right_only
,5686079,,,B,2019-12-13 06:52:57+00:00,right_only
,5687152,,,B,2019-12-15 12:24:40+00:00,right_only
,5688840,,,B,2019-12-01 18:21:26+00:00,right_only
,5689203,,,B,2019-12-21 07:38:50+00:00,right_only
,5689205,,,B,2019-12-21 07:38:48+00:00,right_only
,5692463,,,B,2019-12-20 13:52:59+00:00,right_only
,5696327,,,B,2019-12-23 16:25:58+00:00,right_only
,5699773,,,B,2019-12-11 22:03:14+00:00,right_only
,5699774,,,B,2019-12-11 22:03:06+00:00,right_only
,5699775,,,B,2019-12-11 22:03:17+00:00,right_only
,5699806,,,B,2019-12-11 22:02:56+00:00,right_only
,5700037,,,B,2019-12-23 16:13:14+00:00,right_only
,5700046,,,B,2019-12-03 21:22:06+00:00,right_only
,5700090,,,B,2019-12-27 17:49:05+00:00,right_only
,5712451,,,B,2019-12-05 19:28:19+00:00,right_only
,5713017,,,B,2019-12-28 15:19:57+00:00,right_only
,5715618,,,B,2019-12-28 09:03:22+00:00,right_only
,5723409,,,B,2019-12-25 07:27:32+00:00,right_only
,5723491,,,B,2019-12-10 17:11:47+00:00,right_only
,5727534,,,B,2019-12-11 22:03:10+00:00,right_only
,5727538,,,B,2019-12-11 22:03:19+00:00,right_only
,5728072,,,B,2019-12-02 14:39:59+00:00,right_only
,5733049,,,B,2019-12-09 19:36:24+00:00,right_only
,5733864,,,B,2019-12-23 10:39:34+00:00,right_only
,5734519,,,B,2019-12-23 10:40:17+00:00,right_only
,5734588,,,B,2019-12-23 10:39:58+00:00,right_only
,5736091,,,B,2019-12-23 10:39:44+00:00,right_only
,5736426,,,B,2019-12-17 08:21:25+00:00,right_only
,5736500,,,B,2019-12-23 10:39:48+00:00,right_only
,5736504,,,B,2019-12-01 18:20:22+00:00,right_only
,5738964,,,B,2019-12-17 16:44:41+00:00,right_only
,5739055,,,B,2019-12-14 12:12:30+00:00,right_only
,5739491,,,B,2019-12-24 09:46:05+00:00,right_only
,5744191,,,B,2019-12-01 09:34:31+00:00,right_only
,5744359,,,B,2019-12-22 13:00:55+00:00,right_only
,5745720,,,B,2019-12-03 21:21:14+00:00,right_only
,5748205,,,B,2019-12-01 18:20:14+00:00,right_only
,5749149,,,B,2019-12-02 21:45:00+00:00,right_only
,5751383,,,B,2019-12-21 06:04:37+00:00,right_only
,5751422,,,B,2019-12-02 18:38:25+00:00,right_only
,5752949,,,B,2019-12-01 18:25:18+00:00,right_only
,5753479,,,B,2019-12-05 19:44:43+00:00,right_only
,5753480,,,B,2019-12-21 20:40:19+00:00,right_only
,5753483,,,B,2019-12-21 20:40:00+00:00,right_only
,5753875,,,B,2019-12-23 18:54:41+00:00,right_only
,5754149,,,B,2019-12-08 11:08:05+00:00,right_only
,5754991,,,B,2019-12-08 11:43:38+00:00,right_only
