brand,brand_cohort_count,purchase_count,unresolved_count,remove_count,distinct_users,distinct_sessions,distinct_products,clear_outcome_count,brand_share_pct,purchase_rate_pct,unresolved_rate_pct,remove_rate_pct,clear_purchase_rate_pct,remove_to_purchase_ratio,volume_median_count,remove_to_purchase_threshold,volume_band,risk_band,priority_quadrant
grattol,33335,4060,22761,6514,11025,14393,305,10574,4.3173,12.1794,68.2796,19.541,38.3961,1.6044,1342.0,1.5,高覆盖量,高比值,优先核查
masura,30929,3236,20220,7473,7036,9529,1174,10709,4.0057,10.4627,65.3755,24.1618,30.2176,2.3093,1342.0,1.5,高覆盖量,高比值,优先核查
ingarden,15682,1931,10674,3077,6685,8186,479,5008,2.031,12.3135,68.0653,19.6212,38.5583,1.5935,1342.0,1.5,高覆盖量,高比值,优先核查
pole,12249,1557,7697,2995,2918,3875,547,4552,1.5864,12.7112,62.8378,24.451,34.2047,1.9236,1342.0,1.5,高覆盖量,高比值,优先核查
bluesky,9634,1022,6200,2412,3192,3918,560,3434,1.2477,10.6083,64.3554,25.0363,29.7612,2.3601,1342.0,1.5,高覆盖量,高比值,优先核查
haruyama,7327,813,4787,1727,1916,2360,377,2540,0.9489,11.0959,65.3337,23.5704,32.0079,2.1242,1342.0,1.5,高覆盖量,高比值,优先核查
cosmoprofi,4403,395,2986,1022,1925,2314,270,1417,0.5702,8.9712,67.8174,23.2114,27.8758,2.5873,1342.0,1.5,高覆盖量,高比值,优先核查
lovely,4316,552,2925,839,2003,2383,323,1391,0.559,12.7896,67.7711,19.4393,39.6837,1.5199,1342.0,1.5,高覆盖量,高比值,优先核查
lianail,4168,478,2883,807,1873,2116,388,1285,0.5398,11.4683,69.1699,19.3618,37.1984,1.6883,1342.0,1.5,高覆盖量,高比值,优先核查
f.o.x,4129,433,2690,1006,1554,1868,420,1439,0.5348,10.4868,65.1489,24.3643,30.0903,2.3233,1342.0,1.5,高覆盖量,高比值,优先核查
dartnails,4078,411,2772,895,1277,1480,71,1306,0.5282,10.0785,67.9745,21.947,31.4701,2.1776,1342.0,1.5,高覆盖量,高比值,优先核查
uskusi,3566,309,2509,748,1171,1343,510,1057,0.4618,8.6652,70.3589,20.9759,29.2337,2.4207,1342.0,1.5,高覆盖量,高比值,优先核查
oniq,3441,296,2325,820,1040,1262,531,1116,0.4457,8.6022,67.5676,23.8303,26.5233,2.7703,1342.0,1.5,高覆盖量,高比值,优先核查
beautix,3162,391,1906,865,999,1266,272,1256,0.4095,12.3656,60.2783,27.3561,31.1306,2.2123,1342.0,1.5,高覆盖量,高比值,优先核查
pnb,2783,323,1800,660,1305,1578,302,983,0.3604,11.6062,64.6784,23.7154,32.8586,2.0433,1342.0,1.5,高覆盖量,高比值,优先核查
roubloff,2485,299,1667,519,1327,1536,63,818,0.3218,12.0322,67.0825,20.8853,36.5526,1.7358,1342.0,1.5,高覆盖量,高比值,优先核查
swarovski,2416,351,1482,583,733,826,71,934,0.3129,14.5281,61.3411,24.1308,37.5803,1.661,1342.0,1.5,高覆盖量,高比值,优先核查
levrana,1684,270,1004,410,753,849,235,680,0.2181,16.0333,59.62,24.3468,39.7059,1.5185,1342.0,1.5,高覆盖量,高比值,优先核查
solomeya,1653,239,1019,395,991,1071,279,634,0.2141,14.4586,61.6455,23.8959,37.6972,1.6527,1342.0,1.5,高覆盖量,高比值,优先核查
kinetics,1583,212,949,422,513,594,300,634,0.205,13.3923,59.9495,26.6582,33.4385,1.9906,1342.0,1.5,高覆盖量,高比值,优先核查
dizao,1263,257,783,223,651,730,37,480,0.1636,20.3484,61.9952,17.6564,53.5417,0.8677,1342.0,1.5,低覆盖量,低比值,常规观察
benovy,1049,200,608,241,739,823,22,441,0.1359,19.0658,57.96,22.9743,45.3515,1.205,1342.0,1.5,低覆盖量,低比值,常规观察
skinlite,959,151,632,176,570,619,76,327,0.1242,15.7456,65.902,18.3525,46.1774,1.1656,1342.0,1.5,低覆盖量,低比值,常规观察
refectocil,947,155,594,198,495,559,12,353,0.1226,16.3675,62.7244,20.9081,43.9093,1.2774,1342.0,1.5,低覆盖量,低比值,常规观察
shary,947,202,587,158,465,526,56,360,0.1226,21.3305,61.9852,16.6843,56.1111,0.7822,1342.0,1.5,低覆盖量,低比值,常规观察
depilflax,924,205,526,193,595,644,59,398,0.1197,22.1861,56.9264,20.8874,51.5075,0.9415,1342.0,1.5,低覆盖量,低比值,常规观察
artex,859,121,599,139,597,668,16,260,0.1113,14.0861,69.7322,16.1816,46.5385,1.1488,1342.0,1.5,低覆盖量,低比值,常规观察
bioaqua,839,141,522,176,548,606,93,317,0.1087,16.8057,62.2169,20.9774,44.4795,1.2482,1342.0,1.5,低覆盖量,低比值,常规观察
levissime,821,161,533,127,377,413,6,288,0.1063,19.6102,64.9208,15.4689,55.9028,0.7888,1342.0,1.5,低覆盖量,低比值,常规观察
lador,771,122,521,128,570,632,29,250,0.0999,15.8236,67.5746,16.6018,48.8,1.0492,1342.0,1.5,低覆盖量,低比值,常规观察
igrobeauty,678,113,442,123,564,598,21,236,0.0878,16.6667,65.1917,18.1416,47.8814,1.0885,1342.0,1.5,低覆盖量,低比值,常规观察
opi,649,132,397,120,236,272,224,252,0.0841,20.339,61.171,18.49,52.381,0.9091,1342.0,1.5,低覆盖量,低比值,常规观察
eunyul,624,140,369,115,320,347,25,255,0.0808,22.4359,59.1346,18.4295,54.902,0.8214,1342.0,1.5,低覆盖量,低比值,常规观察
ardell,600,88,381,131,381,432,43,219,0.0777,14.6667,63.5,21.8333,40.1826,1.4886,1342.0,1.5,低覆盖量,低比值,常规观察
nitrimax,566,95,355,116,462,500,19,211,0.0733,16.7845,62.7208,20.4947,45.0237,1.2211,1342.0,1.5,低覆盖量,低比值,常规观察
estelare,551,114,354,83,300,328,28,197,0.0714,20.6897,64.2468,15.0635,57.868,0.7281,1342.0,1.5,低覆盖量,低比值,常规观察
farmavita,488,88,314,86,245,296,168,174,0.0632,18.0328,64.3443,17.623,50.5747,0.9773,1342.0,1.5,低覆盖量,低比值,常规观察
max,484,69,319,96,361,408,15,165,0.0627,14.2562,65.9091,19.8347,41.8182,1.3913,1342.0,1.5,低覆盖量,低比值,常规观察
thuya,481,74,322,85,239,266,17,159,0.0623,15.3846,66.9439,17.6715,46.5409,1.1486,1342.0,1.5,低覆盖量,低比值,常规观察
dermal,471,71,298,102,195,209,57,173,0.061,15.0743,63.2696,21.6561,41.0405,1.4366,1342.0,1.5,低覆盖量,低比值,常规观察
jas,471,114,295,62,318,354,14,176,0.061,24.2038,62.6327,13.1635,64.7727,0.5439,1342.0,1.5,低覆盖量,低比值,常规观察
soleo,444,109,261,74,171,192,10,183,0.0575,24.5495,58.7838,16.6667,59.5628,0.6789,1342.0,1.5,低覆盖量,低比值,常规观察
provoc,428,70,272,86,198,231,51,156,0.0554,16.3551,63.5514,20.0935,44.8718,1.2286,1342.0,1.5,低覆盖量,低比值,常规观察
siberina,416,49,299,68,259,281,131,117,0.0539,11.7788,71.875,16.3462,41.8803,1.3878,1342.0,1.5,低覆盖量,低比值,常规观察
limoni,404,69,248,87,291,315,72,156,0.0523,17.0792,61.3861,21.5347,44.2308,1.2609,1342.0,1.5,低覆盖量,低比值,常规观察
elskin,393,84,247,62,276,308,12,146,0.0509,21.374,62.8499,15.7761,57.5342,0.7381,1342.0,1.5,低覆盖量,低比值,常规观察
missha,390,61,262,67,283,304,48,128,0.0505,15.641,67.1795,17.1795,47.6562,1.0984,1342.0,1.5,低覆盖量,低比值,常规观察
happyfons,388,67,255,66,233,256,41,133,0.0503,17.268,65.7216,17.0103,50.3759,0.9851,1342.0,1.5,低覆盖量,低比值,常规观察
insight,387,81,231,75,187,207,69,156,0.0501,20.9302,59.6899,19.3798,51.9231,0.9259,1342.0,1.5,低覆盖量,低比值,常规观察
marathon,370,57,254,59,309,341,6,116,0.0479,15.4054,68.6486,15.9459,49.1379,1.0351,1342.0,1.5,低覆盖量,低比值,常规观察
lamixx,280,60,159,61,208,222,5,121,0.0363,21.4286,56.7857,21.7857,49.5868,1.0167,1342.0,1.5,低覆盖量,低比值,常规观察
orly,269,47,169,53,210,223,59,100,0.0348,17.4721,62.8253,19.7026,47.0,1.1277,1342.0,1.5,低覆盖量,低比值,常规观察
gehwol,229,57,125,47,147,157,23,104,0.0297,24.8908,54.5852,20.524,54.8077,0.8246,1342.0,1.5,低覆盖量,低比值,常规观察
shik,1242,164,830,248,730,820,93,412,0.1609,13.2045,66.8277,19.9678,39.8058,1.5122,1342.0,1.5,低覆盖量,高比值,监控并补样本
beauty-free,844,82,510,252,334,379,120,334,0.1093,9.7156,60.4265,29.8578,24.5509,3.0732,1342.0,1.5,低覆盖量,高比值,监控并补样本
ecolab,832,124,516,192,464,514,93,316,0.1078,14.9038,62.0192,23.0769,39.2405,1.5484,1342.0,1.5,低覆盖量,高比值,监控并补样本
matrix,807,131,447,229,415,460,90,360,0.1045,16.233,55.3903,28.3767,36.3889,1.7481,1342.0,1.5,低覆盖量,高比值,监控并补样本
sophin,721,105,436,180,420,466,130,285,0.0934,14.5631,60.4716,24.9653,36.8421,1.7143,1342.0,1.5,低覆盖量,高比值,监控并补样本
strong,561,68,386,107,444,497,16,175,0.0727,12.1212,68.8057,19.0731,38.8571,1.5735,1342.0,1.5,低覆盖量,高比值,监控并补样本
bodyton,540,73,355,112,334,368,38,185,0.0699,13.5185,65.7407,20.7407,39.4595,1.5342,1342.0,1.5,低覆盖量,高比值,监控并补样本
polarus,513,64,336,113,380,421,33,177,0.0664,12.4756,65.4971,22.0273,36.1582,1.7656,1342.0,1.5,低覆盖量,高比值,监控并补样本
konad,465,52,294,119,360,383,34,171,0.0602,11.1828,63.2258,25.5914,30.4094,2.2885,1342.0,1.5,低覆盖量,高比值,监控并补样本
kaypro,383,55,226,102,204,220,155,157,0.0496,14.3603,59.0078,26.6319,35.0318,1.8545,1342.0,1.5,低覆盖量,高比值,监控并补样本
enigma,368,41,235,92,209,239,30,133,0.0477,11.1413,63.8587,25.0,30.8271,2.2439,1342.0,1.5,低覆盖量,高比值,监控并补样本
entity,315,36,203,76,254,264,48,112,0.0408,11.4286,64.4444,24.127,32.1429,2.1111,1342.0,1.5,低覆盖量,高比值,监控并补样本
zeitun,298,42,183,73,174,198,120,115,0.0386,14.094,61.4094,24.4966,36.5217,1.7381,1342.0,1.5,低覆盖量,高比值,监控并补样本
kiss,281,41,176,64,192,204,83,105,0.0364,14.5907,62.6335,22.7758,39.0476,1.561,1342.0,1.5,低覆盖量,高比值,监控并补样本
i-laq,226,26,124,76,95,102,113,102,0.0293,11.5044,54.8673,33.6283,25.4902,2.9231,1342.0,1.5,低覆盖量,高比值,监控并补样本
runail,61419,8305,41862,11252,19617,27775,1175,19557,7.9546,13.5219,68.1581,18.3201,42.4656,1.3548,1342.0,1.5,高覆盖量,低比值,规模优势/维护
irisk,35830,4838,24326,6666,15616,20464,1213,11504,4.6405,13.5027,67.8928,18.6045,42.0549,1.3778,1342.0,1.5,高覆盖量,低比值,规模优势/维护
bpw.style,20380,3046,14489,2845,6012,7451,294,5891,2.6395,14.946,71.0942,13.9598,51.706,0.934,1342.0,1.5,高覆盖量,低比值,规模优势/维护
estel,13741,2341,8462,2938,5709,7081,721,5279,1.7796,17.0366,61.5821,21.3813,44.3455,1.255,1342.0,1.5,高覆盖量,低比值,规模优势/维护
kapous,10713,1789,6690,2234,4342,5368,226,4023,1.3875,16.6993,62.4475,20.8532,44.4693,1.2487,1342.0,1.5,高覆盖量,低比值,规模优势/维护
uno,9148,1329,5876,1943,4456,5333,224,3272,1.1848,14.5278,64.2326,21.2396,40.6174,1.462,1342.0,1.5,高覆盖量,低比值,规模优势/维护
freedecor,8959,1104,6403,1452,2931,3520,687,2556,1.1603,12.3228,71.47,16.2072,43.1925,1.3152,1342.0,1.5,高覆盖量,低比值,规模优势/维护
italwax,7475,1469,4597,1409,2930,3570,166,2878,0.9681,19.6522,61.4983,18.8495,51.0424,0.9592,1342.0,1.5,高覆盖量,低比值,规模优势/维护
milv,7150,1050,4826,1274,3340,3877,447,2324,0.926,14.6853,67.4965,17.8182,45.1807,1.2133,1342.0,1.5,高覆盖量,低比值,规模优势/维护
domix,6031,1070,3833,1128,3947,4509,178,2198,0.7811,17.7417,63.555,18.7034,48.6806,1.0542,1342.0,1.5,高覆盖量,低比值,规模优势/维护
jessnail,5964,1025,3736,1203,3225,3712,177,2228,0.7724,17.1865,62.6425,20.171,46.0054,1.1737,1342.0,1.5,高覆盖量,低比值,规模优势/维护
concept,5853,948,3702,1203,3210,3775,265,2151,0.758,16.1968,63.2496,20.5536,44.0725,1.269,1342.0,1.5,高覆盖量,低比值,规模优势/维护
cnd,5284,815,3376,1093,2020,2472,322,1908,0.6844,15.4239,63.891,20.6851,42.7149,1.3411,1342.0,1.5,高覆盖量,低比值,规模优势/维护
airnails,4229,680,2945,604,1025,1238,167,1284,0.5477,16.0795,69.6382,14.2823,52.9595,0.8882,1342.0,1.5,高覆盖量,低比值,规模优势/维护
nagaraku,3903,800,2415,688,1583,2060,86,1488,0.5055,20.4971,61.8755,17.6275,53.7634,0.86,1342.0,1.5,高覆盖量,低比值,规模优势/维护
severina,3813,690,2522,601,2762,3050,52,1291,0.4938,18.096,66.1421,15.7619,53.4469,0.871,1342.0,1.5,高覆盖量,低比值,规模优势/维护
zinger,3774,676,2356,742,2490,2774,181,1418,0.4888,17.912,62.4271,19.6608,47.6728,1.0976,1342.0,1.5,高覆盖量,低比值,规模优势/维护
de.lux,3629,541,2529,559,1775,1951,180,1100,0.47,14.9077,69.6886,15.4037,49.1818,1.0333,1342.0,1.5,高覆盖量,低比值,规模优势/维护
yoko,3435,557,2187,691,2262,2531,149,1248,0.4449,16.2154,63.6681,20.1164,44.6314,1.2406,1342.0,1.5,高覆盖量,低比值,规模优势/维护
staleks,3382,518,2154,710,1879,2215,138,1228,0.438,15.3164,63.6901,20.9935,42.1824,1.3707,1342.0,1.5,高覆盖量,低比值,规模优势/维护
art-visage,2439,381,1621,437,1702,1863,63,818,0.3159,15.6212,66.4617,17.9172,46.577,1.147,1342.0,1.5,高覆盖量,低比值,规模优势/维护
metzger,2197,359,1404,434,1506,1663,136,793,0.2845,16.3405,63.9053,19.7542,45.2711,1.2089,1342.0,1.5,高覆盖量,低比值,规模优势/维护
dewal,1874,267,1305,302,956,1056,297,569,0.2427,14.2476,69.6371,16.1153,46.9244,1.1311,1342.0,1.5,高覆盖量,低比值,规模优势/维护
browxenna,1837,332,1163,342,885,1047,57,674,0.2379,18.0729,63.3097,18.6173,49.2582,1.0301,1342.0,1.5,高覆盖量,低比值,规模优势/维护
farmstay,1755,360,1086,309,684,767,89,669,0.2273,20.5128,61.8803,17.6068,53.8117,0.8583,1342.0,1.5,高覆盖量,低比值,规模优势/维护
rosi,1592,218,1092,282,1068,1195,110,500,0.2062,13.6935,68.593,17.7136,43.6,1.2936,1342.0,1.5,高覆盖量,低比值,规模优势/维护
kaaral,1389,235,927,227,667,811,199,462,0.1799,16.9186,66.7387,16.3427,50.8658,0.966,1342.0,1.5,高覆盖量,低比值,规模优势/维护
smart,1387,266,794,327,670,814,74,593,0.1796,19.1781,57.2459,23.5761,44.8567,1.2293,1342.0,1.5,高覆盖量,低比值,规模优势/维护
markell,1342,194,869,279,766,862,113,473,0.1738,14.456,64.7541,20.7899,41.0148,1.4381,1342.0,1.5,高覆盖量,低比值,规模优势/维护
