check_name,sql_value,python_value,difference,tolerance,passed,severity
完整48小时样本数,772119.0,772119.0,0.0,0.0,True,error
A组数量,104696.0,104696.0,0.0,0.0,True,error
B组数量,511286.0,511286.0,0.0,0.0,True,error
C组数量,156137.0,156137.0,0.0,0.0,True,error
符合条件品牌数,97.0,97.0,0.0,0.0,True,error
品牌字段一致：brand_cohort_count,0.0,0.0,0.0,0.0,True,error
品牌字段一致：purchase_count,0.0,0.0,0.0,0.0,True,error
品牌字段一致：unresolved_count,0.0,0.0,0.0,0.0,True,error
品牌字段一致：remove_count,0.0,0.0,0.0,0.0,True,error
品牌字段一致：clear_outcome_count,0.0,0.0,0.0,0.0,True,error
品牌字段一致：distinct_users,0.0,0.0,0.0,0.0,True,error
品牌字段一致：distinct_sessions,0.0,0.0,0.0,0.0,True,error
品牌字段一致：distinct_products,0.0,0.0,0.0,0.0,True,error
品牌字段最大差：brand_share_pct,0.0,0.0,0.0,0.0001,True,error
品牌字段最大差：purchase_rate_pct,0.0,0.0,0.0,0.0001,True,error
品牌字段最大差：unresolved_rate_pct,0.0,0.0,0.0,0.0001,True,error
品牌字段最大差：remove_rate_pct,0.0,0.0,0.0,0.0001,True,error
品牌字段最大差：clear_purchase_rate_pct,0.0,0.00010000000000331966,0.00010000000000331966,0.0001,True,error
品牌字段最大差：remove_to_purchase_ratio,0.0,0.0,0.0,0.0001,True,error
品牌优先级标签差异数,0.0,0.0,0.0,0.0,True,error
品牌集合差异数,0.0,0.0,0.0,0.0,True,error
旧48小时CSV与正式重建的差异行,0.0,369.0,369.0,0.0,False,warning
敏感性分析使用同一队列,1.0,1.0,0.0,0.0,True,error
购买数量随窗口不下降,1.0,1.0,0.0,0.0,True,error
未明确处置数量随窗口不上升,1.0,1.0,0.0,0.0,True,error
